source_concept_class,target_concept,pcornet_name,source_concept_id,concept_description,value_as_concept_id
specimen_loinc,SER_PLAS,,2143-6,,
specimen_loinc,BLD,,11558-4,,
specimen_loinc,SER,,6136-6,,
specimen_loinc,URINE,,5778-6,,
specimen_loinc,SER_PLAS,,2157-6,,
specimen_loinc,INHL_GAS,,3150-0,,
specimen_loinc,SER_PLAS,,2823-3,,
specimen_loinc,BLD,,4576-5,,
specimen_loinc,URINE,,5799-2,,
specimen_loinc,BLD,,779-9,,
specimen_loinc,BLD,,26484-6,,
specimen_loinc,SER_PLAS,,19113-0,,
specimen_loinc,URINE,,630-4,,
specimen_loinc,SER_PLAS,,2028-9,,
specimen_loinc,BLD,,702-1,,
specimen_loinc,BLD,,32623-1,,
specimen_loinc,THRT,,18481-2,,
specimen_loinc,PPP,,6301-6,,
specimen_loinc,BLD,,600-7,,
specimen_loinc,BLD,,11556-8,,
specimen_loinc,BLD,,41276-7,,
specimen_loinc,BLD,,1994-3,,
specimen_loinc,SER,,6273-7,,
specimen_loinc,SER,,6106-9,,
specimen_loinc,PPP,,3255-7,,
specimen_loinc,URINE,,3107-0,,
specimen_loinc,BLD,,11555-0,,
specimen_loinc,SER_PLAS,,6768-6,,
specimen_loinc,SER_PLAS,,2085-9,,
specimen_loinc,BLD,,789-8,,
specimen_loinc,SER_PLAS,,30934-4,,
specimen_loinc,BLD,,20563-3,,
specimen_loinc,BLD,,11253-2,,
specimen_loinc,BLD,,26450-7,,
specimen_loinc,PLAS,,16362-6,,
specimen_loinc,SER_PLAS,,3024-7,,
specimen_loinc,SER_PLAS,,1975-2,,
specimen_loinc,SER_PLAS,,2089-1,,
specimen_loinc,BODY_FLD,,26455-6,,
specimen_loinc,BLDA,,59408-5,,
specimen_loinc,SER_PLAS,,1742-6,,
specimen_loinc,SER_PLAS,,2502-3,,
specimen_loinc,SER_PLAS,,1920-8,,
specimen_loinc,URINE,,5804-0,,
specimen_loinc,BLD,,26474-7,,
specimen_loinc,BODY_FLD,,26466-3,,
specimen_loinc,PPP,,5902-2,,
specimen_loinc,CSF,,26486-1,,
specimen_loinc,BLD,,11557-6,,
specimen_loinc,BLD,,26485-3,,
specimen_loinc,SER,,2336-6,,
specimen_loinc,BLD,,718-7,,
specimen_loinc,SER_PLAS,,1798-8,,
specimen_loinc,SER,,1963-8,,
specimen_loinc,BLD,,26499-4,,
specimen_loinc,CSF,,26479-6,,
specimen_loinc,SER_PLAS,,2500-7,,
specimen_loinc,BLD,,20570-8,,
specimen_loinc,SER_PLAS,,10501-5,,
specimen_loinc,RBC,,785-6,,
specimen_loinc,BLD,,2947-0,,
specimen_loinc,SER_PLAS,,1751-7,,
specimen_loinc,BLD,,2340-8,,
specimen_loinc,SER_PLAS,,2324-2,,
specimen_loinc,SER_PLAS,,2951-2,,
specimen_loinc,SER_PLAS,,2276-4,,
specimen_loinc,URINE,,5797-6,,
specimen_loinc,BLD,,4625-0,,
specimen_loinc,SER_PLAS,,19123-9,,
specimen_loinc,BLD,,728-6,,
specimen_loinc,URINE,,33051-4,,
specimen_loinc,RBC,,786-4,,
specimen_loinc,SER_PLAS,,3094-0,,
specimen_loinc,SER_PLAS,,43396-1,,
specimen_loinc,SER,,6718-1,,
specimen_loinc,URINE,,5770-3,,
specimen_loinc,SER_PLAS,,3016-3,,
specimen_loinc,BLD,,4546-8,,
specimen_loinc,BLD,,26464-8,,
specimen_loinc,CSF,,2880-3,,
specimen_loinc,BLD,,4548-4,,
specimen_loinc,SER_PLAS,,3084-1,,
specimen_loinc,SER_PLAS,,10839-9,,
specimen_loinc,BLD,,19048-8,,
specimen_loinc,BLD,,26478-8,,
specimen_loinc,BLD,,20564-1,,
specimen_loinc,BLDCO,,47277-9,,
specimen_loinc,SER_PLAS,,2345-7,,
specimen_loinc,SER_PLAS,,2465-3,,
specimen_loinc,URINE,,5803-2,,
specimen_loinc,URINE,,2965-2,,
specimen_loinc,BLD,,34728-6,,
specimen_loinc,RBC,,30428-7,,
specimen_loinc,BLD,,30180-4,,
specimen_loinc,SER_PLAS,,2091-7,,
specimen_loinc,URINE,,5802-4,,
specimen_loinc,XXX,,31208-2,,
specimen_loinc,BLD,,26444-0,,
specimen_loinc,BLD,,30341-2,,
specimen_loinc,SER,,6050-9,,
specimen_loinc,SER,,6019-4,,
specimen_loinc,SER_PLAS,,2692-2,,
specimen_loinc,BLD,,10378-8,,
specimen_loinc,URINE,,27298-9,,
specimen_loinc,CSF,,2342-4,,
specimen_loinc,SER,,6206-7,,
specimen_loinc,RBC,,30384-2,,
specimen_loinc,SER_PLAS,,2075-0,,
specimen_loinc,BLD,,17849-1,,
specimen_loinc,SER_PLAS,,2458-8,,
specimen_loinc,BLD,,26515-7,,
specimen_loinc,RBC,,30385-9,,
specimen_loinc,URINE,,5792-7,,
specimen_loinc,SER_PLAS,,2160-0,,
specimen_loinc,URINE,,14959-1,,
specimen_loinc,BODY_FLD,,38256-4,,
specimen_loinc,SER_PLAS,,17861-6,,
specimen_loinc,SER_PLAS,,2093-3,,
specimen_loinc,BLD,,26449-9,,
specimen_loinc,SER_PLAS,,1968-7,,
specimen_loinc,^PATIENT,,8310-5,,
specimen_loinc,SER_PLAS,,1971-1,,
specimen_loinc,SER_PLAS,,2571-8,,
specimen_loinc,BLD,,11282-1,,
specimen_loinc,SER_PLAS,,2885-2,,
specimen_loinc,SER_PLAS,,15152-2,,
